pillar|title|slug|collection|buyerStage|targetPersona|targetKeyword|format|valueAsset|requiredSources|internalLinks|status
PCOS practical tools|PCOS Data Sharing Privacy Checklist|pcos-data-sharing-privacy-checklist|privacy-in-practice|mofu|pcos-diagnosed;privacy-conscious;specialist-prep|pcos app privacy|privacy checklist|Checklist for deciding which PCOS cycle, symptom, lab, food, medication, photo, and fertility notes to share with a clinician, insurer, partner, or app|FTC health app breach rule; existing PCOS insurance page; data minimization guide; no legal guarantees|/resources/privacy-in-practice/your-medical-records-and-period-data;/resources/guides/period-tracker-data-minimization-guide;/free/pcos-tracking-kit|consolidated-2026-07-31
PMDD practical tools|PMDD Quiz With No Email|pmdd-quiz-no-email|questionnaires|tofu|pmdd-tracker;privacy-conscious-user|pmdd quiz|quiz/self-check|Privacy-first self-check that explains PMDD pattern signals, limits, urgent safety signals, and what to track next|ACOG Premenstrual Syndrome; Office on Women's Health PMS; 988 Lifeline for crisis language; no diagnosis claim|/resources/guides/pmdd-period-tracking-guide;/resources/symptom-guides/pmdd-symptoms-vs-pms;/free/pmdd-tracking-kit;/resources/condition-guides/pmdd-treatment-options;/app-guides/floriva-for-pmdd-tracking|drafted-batch-7
PMDD practical tools|Daily Record of Severity of Problems Guide|pmdd-drsp-daily-log|lead-magnets|mofu|pmdd-tracker;doctor-prep|daily record of severity of problems|worksheet guide|Plain-language DRSP-style daily log explainer with a simple daily table and clinician summary prompts|NCBI Bookshelf PMDD prospective daily ratings; ACOG Premenstrual Syndrome; IAPMD tracker context if quoted cautiously|/free/pmdd-tracking-kit;/resources/guides/pmdd-period-tracking-guide;/resources/symptom-guides/pmdd-symptoms-vs-pms;/resources/condition-guides/pmdd-treatment-options|consolidated-2026-07-06
PMDD practical tools|PMDD Appointment Prep Checklist|pmdd-appointment-prep-checklist|lead-magnets|mofu|pmdd-tracker;doctor-prep|pmdd appointment checklist|visit checklist|Clinician visit prep sheet for cycle timing, function impact, safety concerns, medications, and questions|ACOG Premenstrual Syndrome; Office on Women's Health PMS; 988 Lifeline for urgent safety wording|/free/pmdd-tracking-kit;/resources/condition-guides/pmdd-treatment-options;/app-guides/floriva-for-pmdd-tracking|consolidated-2026-07-06
PMDD practical tools|PMDD Treatment Response Tracker|pmdd-treatment-response-tracker|lead-magnets|mofu|pmdd-tracker;treatment-tracker|pmdd treatment tracker|treatment log|Medication, therapy, lifestyle, side-effect, function, and cycle timing response tracker for PMDD care|ACOG Premenstrual Syndrome treatment context; Office on Women's Health PMS; FDA medication/supplement safety caveat if needed|/resources/condition-guides/pmdd-treatment-options;/free/pmdd-tracking-kit;/resources/guides/pmdd-period-tracking-guide|consolidated-2026-07-06
PMDD practical tools|PMDD Work and School Planning Sheet|pmdd-work-school-planning-sheet|lead-magnets|mofu|pmdd-tracker;work-school-planner|pmdd work accommodations|planning worksheet|Work and school planning sheet for symptom windows, task load, communication notes, and care boundaries without legal overpromises|ACOG Premenstrual Syndrome; 988 Lifeline for safety; JAN mental health accommodation examples as secondary context|/free/pmdd-tracking-kit;/resources/privacy-in-practice/who-can-legally-get-your-period-data;/resources/guides/pmdd-period-tracking-guide|consolidated-2026-07-06
PMDD practical tools|PMDD Relationship Communication Script|pmdd-relationship-communication-script|lead-magnets|mofu|pmdd-tracker;partner-helper|pmdd relationship worksheet|script worksheet|Boundary and support script for sharing PMDD patterns with a partner, friend, roommate, or family member|ACOG Premenstrual Syndrome; Office on Women's Health PMS; 988 Lifeline for safety escalation language|/resources/guides/period-tracking-for-partners;/free/pmdd-tracking-kit;/resources/guides/pmdd-period-tracking-guide|consolidated-2026-07-06
PMDD practical tools|PMDD Safety Plan Template|pmdd-safety-plan-template|lead-magnets|mofu|pmdd-tracker;safety-planner|pmdd safety plan|safety template|Plain safety plan for high-risk PMDD days, warning signs, supports, crisis steps, and what not to store in an app|988 Lifeline; ACOG Premenstrual Syndrome; Office on Women's Health PMS; no replacement for emergency care|/free/pmdd-tracking-kit;/resources/guides/pmdd-period-tracking-guide;/resources/privacy-in-practice/protect-your-symptom-and-condition-data|consolidated-2026-07-06
PMDD practical tools|PMDD Data Privacy Checklist|pmdd-data-privacy-checklist|privacy-in-practice|mofu|pmdd-tracker;privacy-conscious-user|pmdd tracker privacy|privacy checklist|Checklist for deciding where to store PMDD mood logs, safety notes, medication notes, exports, and clinician summaries|FTC health app enforcement context; 988 Lifeline for safety note; ACOG or OWH PMDD sensitivity context|/free/pmdd-tracking-kit;/resources/guides/period-tracker-data-minimization-guide;/resources/privacy-in-practice/lock-down-period-data-on-your-phone;/app-guides/floriva-for-pmdd-tracking|consolidated-2026-07-31
Birth control practical tools|Breakthrough Bleeding Log|breakthrough-bleeding-log|lead-magnets|tofu|birth-control-user;health-tracker|breakthrough bleeding birth control|worksheet log|Plain bleeding and spotting log for people on birth control with dates, flow, missed or late dose notes, new medicines, pain, pregnancy-test note, and clinician questions|CDC Selected Practice Recommendations bleeding irregularities; ACOG or Planned Parenthood patient education only as secondary context; no dosing or treatment instructions|/resources/life-stage-guides/birth-control-period-changes;/resources/symptom-guides/spotting-vs-period;/free/abnormal-bleeding-log;/resources/condition-guides/irregular-periods-when-to-see-doctor;/resources/guides/period-tracking-without-cloud|consolidated-2026-07-06
Birth control practical tools|Birth Control Side Effect Tracker|birth-control-side-effect-tracker|lead-magnets|tofu|birth-control-user;health-tracker|birth control side effects tracker|symptom tracker|Side-effect pattern tracker for method start or switch date, bleeding, mood, headache, nausea, acne, libido, cramps, and care questions without claiming causation|CDC Selected Practice Recommendations contraception guidance; patient education source if method side effects are named; no causal diagnosis claims|/resources/life-stage-guides/birth-control-period-changes;/resources/life-stage-guides/tracking-cycles-after-stopping-birth-control;/free/abnormal-bleeding-log;/resources/guides/period-tracking-without-cloud;/resources/guides/period-tracker-data-minimization-guide|consolidated-2026-07-06
Birth control practical tools|IUD Bleeding and Cramp Log|iud-bleeding-and-cramp-log|lead-magnets|tofu|iud-user;health-tracker|iud bleeding tracker|worksheet log|IUD bleeding and cramp log for spotting, flow, pain, string-check notes, insertion date, method type, and clinician questions|CDC Selected Practice Recommendations IUD bleeding guidance; ACOG or Planned Parenthood patient education only as secondary context; avoid self-diagnosis|/resources/condition-guides/iud-and-period-changes;/resources/life-stage-guides/birth-control-period-changes;/resources/symptom-guides/spotting-vs-period;/free/abnormal-bleeding-log;/resources/privacy-in-practice/your-medical-records-and-period-data|consolidated-2026-07-06
Birth control practical tools|IUD Appointment Question Checklist|iud-appointment-question-checklist|lead-magnets|mofu|iud-user;doctor-prep|iud appointment questions|visit checklist|Question checklist for IUD follow-up or unexpected bleeding with what to document, when to call, what to bring, and how to limit app exports|CDC Selected Practice Recommendations IUD guidance; patient education source if warning signs are mentioned; no treatment or contraceptive timing advice|/resources/condition-guides/iud-and-period-changes;/free/period-pain-cramp-diary;/resources/privacy-in-practice/your-medical-records-and-period-data;/resources/guides/period-tracker-data-minimization-guide;/free/abnormal-bleeding-log|consolidated-2026-07-06
Birth control practical tools|Depo Shot Bleeding Calendar|depo-shot-bleeding-calendar|lead-magnets|tofu|depo-user;health-tracker|depo shot bleeding|calendar worksheet|Three-month Depo bleeding calendar for shot date, spotting, heavy days, cramps, mood, headaches, and clinician questions|CDC Selected Practice Recommendations DMPA bleeding guidance; no dosing instructions for stopping bleeding|/resources/life-stage-guides/birth-control-period-changes;/free/abnormal-bleeding-log;/resources/privacy-in-practice/your-medical-records-and-period-data;/resources/guides/period-tracking-without-cloud|consolidated-2026-07-06
Birth control practical tools|Birth Control Switch Checklist|birth-control-switch-checklist|lead-magnets|mofu|birth-control-user;doctor-prep|birth control switch checklist|planning checklist|Method-switch planning checklist for current method, goals, side effects, bleeding pattern, start and stop dates, privacy choices, and clinician or pharmacist questions|CDC Selected Practice Recommendations and US MEC if eligibility is mentioned; no method recommendation or protection-start timing advice|/resources/life-stage-guides/birth-control-period-changes;/resources/life-stage-guides/tracking-cycles-after-stopping-birth-control;/resources/life-stage-guides/birth-control-implant-bleeding-log;/free/birth-control-tracking-kit;/resources/guides/period-tracking-without-cloud|consolidated-2026-07-06
Birth control practical tools|Stopping Birth Control Cycle Return Tracker|stopping-birth-control-cycle-return-tracker|lead-magnets|tofu|birth-control-user;cycle-symptom-tracker|period after stopping birth control|tracker worksheet|Cycle-return tracker for period dates, spotting, cervical mucus if used, mood, acne, cramps, pregnancy-test note, and care questions after stopping a method|Existing stopping-birth-control guide; CDC contraception guidance if method timing is mentioned; avoid fertility or pregnancy guarantees|/resources/life-stage-guides/tracking-cycles-after-stopping-birth-control;/resources/life-stage-guides/birth-control-period-changes;/free/birth-control-tracking-kit;/resources/condition-guides/why-is-my-period-late;/resources/guides/period-tracking-without-cloud|consolidated-2026-07-06
Birth control practical tools|Birth Control Data Privacy Checklist|birth-control-data-privacy-checklist|privacy-in-practice|mofu|birth-control-user;privacy-conscious-user|birth control app privacy|privacy checklist|Checklist for deciding where to store birth-control notes, bleeding logs, sex notes, pregnancy-test notes, exports, and clinician summaries|FTC Health Breach Notification Rule; HHS HIPAA consumer app guidance if used; existing data minimization guide; no legal guarantees|/free/abnormal-bleeding-log;/free/birth-control-tracking-kit;/resources/guides/period-tracker-data-minimization-guide;/resources/privacy-in-practice/your-medical-records-and-period-data;/resources/guides/period-tracking-without-cloud|consolidated-2026-07-31
Perimenopause practical tools|Perimenopause Symptoms Checklist|perimenopause-symptoms-checklist|lead-magnets|tofu|perimenopause;health-tracker|perimenopause symptoms checklist|checklist worksheet|Plain checklist that turns symptom-list searches into body-system groups, severity notes, cycle timing, daily-life impact, and care questions without claiming a fixed official symptom count|Office on Women's Health menopause symptoms; ACOG perimenopausal bleeding and menopause context; avoid fake 34/100 symptom authority|/resources/life-stage-guides/perimenopause-period-changes;/resources/life-stage-guides/perimenopause-hormone-changes-tracking;/free/perimenopause-symptom-tracker;/resources/guides/period-tracking-without-cloud|consolidated-2026-07-06
